,Route_link,Route_name,Bus_name,Bus_type,Dep_time,Duration,Arr_time,Rating,Price,Seat_avail
0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 35119,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),09:30,06h 15m,15:45,4.2,720,"42 Seats available
20 Window"
1,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3543,Super Luxury (Non AC Seater 2+2 Push Back),10:15,07h 05m,17:20,4.0,469,"29 Seats available
13 Window"
2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 9310,Super Luxury (Non AC Seater 2+2 Push Back),10:15,06h 35m,16:50,3.9,436,"33 Seats available
16 Window"
3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3657,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),10:30,05h 55m,16:25,3.9,720,"45 Seats available
22 Window"
4,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3513,Super Luxury (Non AC Seater 2+2 Push Back),10:39,09h 06m,19:45,2.1,488,"33 Seats available
16 Window"
5,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,4.6,496,"39 Seats available
9 Single"
6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),22:30,06h 50m,05:20,4.6,NA,"30 Seats available
13 Window"
7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),11:40,06h 55m,18:35,4.7,NA,"37 Seats available
16 Window"
8,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,FRESHBUS,Electric A/C Seater (2+2),16:20,06h 45m,23:05,4.6,NA,"35 Seats available
16 Window"
9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,07h 00m,06:25,4.5,468,"39 Seats available
7 Single"
10,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 35119,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),09:30,06h 15m,15:45,4.2,720,"42 Seats available
20 Window"
11,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3543,Super Luxury (Non AC Seater 2+2 Push Back),10:15,07h 05m,17:20,4.0,469,"29 Seats available
13 Window"
12,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 9310,Super Luxury (Non AC Seater 2+2 Push Back),10:15,06h 35m,16:50,3.9,436,"33 Seats available
16 Window"
13,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3657,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),10:30,05h 55m,16:25,3.9,720,"45 Seats available
22 Window"
14,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3513,Super Luxury (Non AC Seater 2+2 Push Back),10:39,09h 06m,19:45,2.1,488,"33 Seats available
16 Window"
15,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 9400,Super Luxury (Non AC Seater 2+2 Push Back),10:45,06h 45m,17:30,4.8,469,"32 Seats available
15 Window"
16,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3858,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),11:30,05h 00m,16:30,3.6,720,"29 Seats available
13 Window"
17,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 9356,Super Luxury (Non AC Seater 2+2 Push Back),11:30,06h 35m,18:05,4.0,436,"29 Seats available
14 Window"
18,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3601,Super Luxury (Non AC Seater 2+2 Push Back),12:00,08h 20m,20:20,2.5,469,"33 Seats available
16 Window"
19,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 35269,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),12:15,06h 10m,18:25,3.6,720,"37 Seats available
18 Window"
20,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 2456,INDRA(A.C. Seater),12:30,05h 00m,17:30,4.0,528,"3 Seats available
1 Window"
21,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3515,Super Luxury (Non AC Seater 2+2 Push Back),12:30,07h 35m,20:05,2.0,469,"33 Seats available
16 Window"
22,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3823,Super Luxury (Non AC Seater 2+2 Push Back),12:45,06h 58m,19:43,4.0,469,"34 Seats available
17 Window"
23,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3562,Super Luxury (Non AC Seater 2+2 Push Back),12:45,06h 40m,19:25,2.7,436,"33 Seats available
16 Window"
24,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 35117,INDRA(A.C. Seater),13:00,06h 09m,19:09,3.7,567,"31 Seats available
14 Window"
25,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3549,Super Luxury (Non AC Seater 2+2 Push Back),13:15,06h 45m,20:00,4.5,436,"33 Seats available
16 Window"
26,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 21228,Super Luxury (Non AC Seater 2+2 Push Back),13:30,05h 00m,18:30,4.0,436,"26 Seats available
12 Window"
27,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 23879,Super Luxury (Non AC Seater 2+2 Push Back),13:50,05h 00m,18:50,3.4,436,"33 Seats available
16 Window"
28,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3825,Super Luxury (Non AC Seater 2+2 Push Back),14:00,06h 40m,20:40,2.8,469,"34 Seats available
17 Window"
29,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 4052,Super Luxury (Non AC Seater 2+2 Push Back),14:00,06h 40m,20:40,3.8,436,"33 Seats available
16 Window"
30,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3571,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:00,06h 04m,20:04,4.0,720,"46 Seats available
22 Window"
31,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 23545,INDRA(A.C. Seater),14:15,03h 45m,18:00,3.1,528,"35 Seats available
17 Window"
32,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3583,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),14:30,06h 00m,20:30,3.8,720,"34 Seats available
14 Window"
33,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3886,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),15:00,05h 00m,20:00,4.2,720,"40 Seats available
17 Window"
34,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 3525,Super Luxury (Non AC Seater 2+2 Push Back),15:00,08h 00m,23:00,3.7,436,"33 Seats available
16 Window"
35,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 35061,Super Luxury (Non AC Seater 2+2 Push Back),15:15,08h 00m,23:15,NA,436,"21 Seats available
6 Window"
36,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,APSRTC - 99611,Super Luxury (Non AC Seater 2+2 Push Back),15:20,04h 30m,19:50,4.0,436,"22 Seats available
9 Window"
