,Route_link,Route_name,Bus_name,Bus_type,Dep_time,Duration,Arr_time,Rating,Price,Seat_avail
0,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram (C.T),NON A/C Seater (2+2),14:10,06h 50m,21:00,3.3,500,"28 Seats available
14 Window"
1,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram (C.T),NON A/C Seater (2+2),14:50,07h 00m,21:50,3.3,450,"28 Seats available
14 Window"
2,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,05h 32m,02:00,3.4,0,"6 Seats available
3 Window"
3,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,06h 40m,05:00,3.5,550,"52 Seats available
24 Window"
4,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Jai Mata Di Tour and Travels,,22:40,05h 20m,04:00,3.2,0,
5,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram (C.T),NON A/C Seater (2+2),14:10,06h 50m,21:00,3.3,500,"28 Seats available
14 Window"
6,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram (C.T),NON A/C Seater (2+2),14:50,07h 00m,21:50,3.3,450,"28 Seats available
14 Window"
7,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,05h 32m,02:00,3.4,0,"6 Seats available
3 Window"
8,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,06h 40m,05:00,3.5,550,"52 Seats available
24 Window"
9,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,05h 20m,04:00,3.2,0,"28 Seats available
14 Window"
10,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Vivek Travels,A/C Seater (2+2),13:25,07h 00m,20:25,0,450,45 Seats available
11,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Vivek Travels,A/C Seater / Sleeper (2+2),13:30,07h 00m,20:30,0,400,72 Seats available
