,Route_link,Route_name,Bus_name,Bus_type,Dep_time,Duration,Arr_time,Rating,Price,Seat_avail
0,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165689,HVAC Seater (2+3),10:30,05h 35m,16:05,3.6,404.76,"46 Seats available
17 Window"
1,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165691,HVAC Seater (2+3),11:20,05h 35m,16:55,3.9,404.76,"41 Seats available
15 Window"
2,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165693,HVAC Seater (2+3),12:30,05h 35m,18:05,3.8,404.76,"44 Seats available
17 Window"
3,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165697,HVAC Seater (2+3),14:00,05h 35m,19:35,4.1,404.76,"47 Seats available
18 Window"
4,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165709,HVAC Seater (2+3),14:30,05h 35m,20:05,3.9,404.76,"46 Seats available
17 Window"
5,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,Electric A/C Seater (2+2),10:00,05h 30m,15:30,3.8,NA,"39 Seats available
19 Window"
6,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,Electric A/C Seater (2+2),10:30,05h 05m,15:35,3.8,NA,24 Seats available
7,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,Electric A/C Seater (2+2),11:00,05h 30m,16:30,3.6,NA,"20 Seats available
7 Window"
8,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),13:00,06h 30m,19:30,4.8,NA,"10 Seats available
5 Window"
9,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),13:40,05h 50m,19:30,4.4,NA,"10 Seats available
5 Window"
10,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165689,HVAC Seater (2+3),10:30,05h 35m,16:05,3.6,404.76,"46 Seats available
17 Window"
11,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165691,HVAC Seater (2+3),11:20,05h 35m,16:55,3.9,404.76,"41 Seats available
15 Window"
12,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165693,HVAC Seater (2+3),12:30,05h 35m,18:05,3.8,404.76,"44 Seats available
17 Window"
13,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165697,HVAC Seater (2+3),14:00,05h 35m,19:35,4.1,404.76,"47 Seats available
18 Window"
14,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165709,HVAC Seater (2+3),14:30,05h 35m,20:05,3.9,404.76,"46 Seats available
17 Window"
15,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165720,HVAC Seater (2+3),15:30,05h 35m,21:05,3.9,404.76,"47 Seats available
18 Window"
16,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165722,HVAC Seater (2+3),16:30,05h 35m,22:05,3.4,404.76,"47 Seats available
18 Window"
17,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165724,HVAC Seater (2+3),17:00,05h 35m,22:35,3.5,404.76,"47 Seats available
18 Window"
