,Route_link,Route_name,Bus_name,Bus_type,Dep_time,Duration,Arr_time,Rating,Price,Seat_avail
0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 15m,08:45,4.6,750,"1 Seat available
1 Single"
1,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Ashray Vip Yellows,A/C Sleeper (2+1),20:30,11h 30m,08:00,4.4,700,20 Seats available
2,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,11h 30m,08:30,4.4,649,24 Seats available
3,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:00,11h 00m,10:00,4.4,0,"21 Seats available
6 Single"
4,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,,,,,,0,0,
5,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 15m,08:45,4.6,750,"1 Seat available
1 Single"
6,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Ashray Vip Yellows,A/C Sleeper (2+1),20:30,11h 30m,08:00,4.4,700,20 Seats available
7,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,11h 30m,08:30,4.4,649,24 Seats available
8,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:00,11h 00m,10:00,4.4,0,"21 Seats available
6 Single"
9,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Zingbus Plus,VE A/C Sleeper (2+1),23:55,11h 15m,11:10,4.4,0,10 Seats available
10,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:45,10h 50m,08:35,4.5,0,"14 Seats available
3 Single"
11,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,10h 30m,07:45,4.5,400,32 Seats available
12,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,10h 30m,07:30,4.5,599,"11 Seats available
5 Single"
13,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Ashray Divine,NON A/C Sleeper (1+2),19:45,11h 00m,06:45,4.2,650,20 Seats available
14,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,11h 15m,07:15,4.3,399,"20 Seats available
2 Single"
15,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Ashray Amrutyog,A/C Sleeper (2+1),22:00,11h 30m,09:30,4.4,649,"16 Seats available
8 Window"
16,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),23:35,10h 10m,09:45,4.2,708,"10 Seats available
1 Single"
17,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Atmaram Gobus,NON A/C Sleeper (2+1),20:30,10h 30m,07:00,4.2,600,"20 Seats available
6 Single"
18,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),20:15,10h 15m,06:30,4.2,860,"10 Seats available
5 Single"
19,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:05,09h 56m,08:01,4.0,700,"24 Seats available
3 Single"
20,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),21:55,10h 25m,08:20,4.0,599,"13 Seats available
1 Single"
