,Route_link:,Route_name:,Bus_name:,Bus_type:,Dep_time:,Duration:,Arr_time:,Rating:,Price:,Seat_avail:
0,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,08h 35m,22:50,4.2,627.0,34 Seats available
1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,09h 01m,00:01,4.3,620.0,"13 Seats available
4 Window"
2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC (Kerala) - 370,AC MULTI AXLE,15:25,06h 55m,22:20,2.2,729.0,"38 Seats available
15 Window"
3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,08h 48m,00:50,2.8,567.0,"23 Seats available
7 Window"
4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,09h 20m,04:24,4.1,640.0,"38 Seats available
17 Window"
5,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,08h 25m,06:10,4.2,700.0,"22 Seats available
1 Single"
6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,09h 00m,07:30,4.4,700.0,"21 Seats available
3 Single"
7,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,NS Transports,VE A/C Sleeper (2+1),22:45,08h 45m,07:30,4.1,1000.0,"19 Seats available
5 Single"
8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,AdSAAM BUS,Bharat Benz A/C Sleeper (2+1),20:10,10h 35m,06:45,4.2,807.0,24 Seats available
9,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,P K Travels,A/C Sleeper (2+1),18:45,11h 45m,06:30,4.2,900.0,"23 Seats available
4 Single"
10,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,08h 35m,22:50,4.2,627.0,34 Seats available
