,Route_link,Route_name,Bus_name,Bus_type,Dep_time,Duration,Arr_time,Rating,Price,Seat_avail
0,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 66649,Volvo AC Seater (2+2),12:40,05h 25m,18:05,4.3,692,"21 Seats available
4 Window"
1,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 67101,AC Seater Hvac 2+2,15:25,05h 01m,20:26,3.3,440,"40 Seats available
19 Window"
2,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 67142,Volvo AC Seater (2+2),16:00,05h 25m,21:25,4.0,692,"37 Seats available
18 Window"
3,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 66687,Volvo AC Seater (2+2),18:10,05h 25m,23:35,3.8,692,"37 Seats available
17 Window"
4,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 67104,AC Seater Hvac 2+2,22:30,05h 01m,03:31,2.8,440,"40 Seats available
19 Window"
5,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 66649,Volvo AC Seater (2+2),12:40,05h 25m,18:05,4.3,692,"21 Seats available
4 Window"
6,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 67101,AC Seater Hvac 2+2,15:25,05h 01m,20:26,3.3,440,"40 Seats available
19 Window"
7,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 67142,Volvo AC Seater (2+2),16:00,05h 25m,21:25,4.0,692,"37 Seats available
18 Window"
8,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 66687,Volvo AC Seater (2+2),18:10,05h 25m,23:35,3.8,692,"37 Seats available
17 Window"
9,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 67104,AC Seater Hvac 2+2,22:30,05h 01m,03:31,2.8,440,"40 Seats available
19 Window"
10,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 66649,Volvo AC Seater (2+2),12:40,05h 25m,18:05,4.3,692,"21 Seats available
4 Window"
11,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 67101,AC Seater Hvac 2+2,15:25,05h 01m,20:26,3.3,440,"40 Seats available
19 Window"
12,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 67142,Volvo AC Seater (2+2),16:00,05h 25m,21:25,4.0,692,"37 Seats available
18 Window"
13,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 66687,Volvo AC Seater (2+2),18:10,05h 25m,23:35,3.8,692,"37 Seats available
17 Window"
14,https://www.redbus.in/bus-tickets/patiala-to-delhi,Patiala to Delhi,PEPSU (Punjab) - 67104,AC Seater Hvac 2+2,22:30,05h 01m,03:31,2.8,440,"40 Seats available
19 Window"
15,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 66665,Volvo AC Seater (2+2),14:00,05h 00m,19:00,4.2,692,"24 Seats available
10 Window"
16,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 66689,Volvo AC Seater (2+2),15:25,05h 00m,20:25,3.9,692,"35 Seats available
17 Window"
17,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 67140,AC Seater Hvac 2+2,16:30,05h 30m,22:00,3.2,440,"41 Seats available
20 Window"
18,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 66667,Volvo AC Seater (2+2),17:30,05h 00m,22:30,4.3,692,"39 Seats available
19 Window"
19,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 67103,AC Seater Hvac 2+2,22:30,05h 30m,04:00,3.4,440,"36 Seats available
15 Window"
20,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 66665,Volvo AC Seater (2+2),14:00,05h 00m,19:00,4.2,692,"24 Seats available
10 Window"
21,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 66689,Volvo AC Seater (2+2),15:25,05h 00m,20:25,3.9,692,"35 Seats available
17 Window"
22,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 67140,AC Seater Hvac 2+2,16:30,05h 30m,22:00,3.2,440,"41 Seats available
20 Window"
23,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 66667,Volvo AC Seater (2+2),17:30,05h 00m,22:30,4.3,692,"39 Seats available
19 Window"
24,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 67103,AC Seater Hvac 2+2,22:30,05h 30m,04:00,3.4,440,"36 Seats available
15 Window"
25,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 66665,Volvo AC Seater (2+2),14:00,05h 00m,19:00,4.2,692,"24 Seats available
10 Window"
26,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 66689,Volvo AC Seater (2+2),15:25,05h 00m,20:25,3.9,692,"35 Seats available
17 Window"
27,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 67140,AC Seater Hvac 2+2,16:30,05h 30m,22:00,3.2,440,"41 Seats available
20 Window"
28,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 66667,Volvo AC Seater (2+2),17:30,05h 00m,22:30,4.3,692,"39 Seats available
19 Window"
29,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,PEPSU (Punjab) - 67103,AC Seater Hvac 2+2,22:30,05h 30m,04:00,3.4,440,"36 Seats available
15 Window"
30,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,PEPSU (Punjab) - 67162,Volvo AC Seater (2+2),15:00,07h 30m,22:30,2.0,845,"38 Seats available
18 Window"
31,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,PEPSU (Punjab) - 67096,Volvo AC Seater (2+2),16:10,07h 00m,23:10,4.0,845,"31 Seats available
13 Window"
32,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,PEPSU (Punjab) - 67135,Volvo AC Seater (2+2),17:35,08h 00m,01:35,4.0,845,"38 Seats available
18 Window"
33,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,07h 35m,03:25,4.5,845,"33 Seats available
15 Window"
34,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,07h 00m,03:50,4.7,845,"32 Seats available
15 Window"
35,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,06h 33m,05:00,4.5,400,"23 Seats available
5 Single"
36,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Laxmi holidays,VE A/C Sleeper (2+1),23:55,06h 50m,06:45,4.5,0,31 Seats available
37,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,IntrCity SmartBus,AC Sleeper (2+1),22:50,06h 55m,05:45,4.4,557,"19 Seats available
7 Single"
38,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,07h 35m,06:20,4.7,449,"28 Seats available
7 Single"
39,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,06h 10m,06:05,4.5,315,"34 Seats available
7 Single"
