,Route_link,Route_name,Bus_name,Bus_type,Dep_time,Duration,Arr_time,Rating,Price,Seat_avail
0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 160781,Super Luxury Volvo AC Seater Pushback 2+2,00:00,14h 00m,14:00,4.6,460,"37 Seats available
18 Window"
1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 192566,Semi Deluxe Non AC Seater 2+2,04:45,04h 30m,09:15,4.2,250,"35 Seats available
17 Window"
2,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 146314,Super Luxury Volvo AC Seater Pushback 2+2,06:15,04h 00m,10:15,4.3,460,"23 Seats available
9 Window"
3,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 193343,Semi Deluxe Non AC Seater 2+2,07:15,04h 45m,12:00,4.2,250,"35 Seats available
17 Window"
4,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 185141,Super Luxury Volvo AC Seater Pushback 2+2,07:15,04h 00m,11:15,4.2,460,"37 Seats available
18 Window"
5,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),00:40,04h 50m,05:30,3.4,700,"41 Seats available
26 Window"
6,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),01:10,04h 50m,06:00,3.4,700,"35 Seats available
21 Window"
7,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Shree Ganesh Travels,A/C Seater / Sleeper (2+1),01:30,03h 30m,05:00,3.2,400,"7 Seats available
1 Single"
8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,R.S.Sodha Travels,A/C Seater / Sleeper (2+1),01:45,03h 35m,05:20,3.5,660,"33 Seats available
8 Single"
9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,V k jain travels,NON A/C Seater/ Sleeper (2+1),08:45,05h 05m,13:50,3.0,330,"36 Seats available
5 Single"
10,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 160781,Super Luxury Volvo AC Seater Pushback 2+2,00:00,14h 00m,14:00,4.6,460,"37 Seats available
18 Window"
11,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 192566,Semi Deluxe Non AC Seater 2+2,04:45,04h 30m,09:15,4.2,250,"35 Seats available
17 Window"
12,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 146314,Super Luxury Volvo AC Seater Pushback 2+2,06:15,04h 00m,10:15,4.3,460,"23 Seats available
9 Window"
13,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 193343,Semi Deluxe Non AC Seater 2+2,07:15,04h 45m,12:00,4.2,250,"35 Seats available
17 Window"
14,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 185141,Super Luxury Volvo AC Seater Pushback 2+2,07:15,04h 00m,11:15,4.2,460,"37 Seats available
18 Window"
15,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 193585,Express Non AC Seater 2+3,07:40,04h 40m,12:20,4.2,227,"42 Seats available
15 Window"
16,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 192577,Express Non AC Seater 2+3,08:00,04h 55m,12:55,4.2,229,"46 Seats available
19 Window"
17,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 144042,Super Luxury Volvo AC Seater Pushback 2+2,08:21,03h 59m,12:20,4.3,460,"30 Seats available
13 Window"
18,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 186250,Super Luxury Volvo AC Seater Pushback 2+2,09:16,04h 04m,13:20,4.6,460,"37 Seats available
18 Window"
19,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 174461,Express Non AC Seater 2+3,09:30,04h 45m,14:15,4.2,229,"42 Seats available
15 Window"
20,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,RSRTC - 179321,Express Non AC Seater 2+3,10:00,04h 30m,14:30,4.2,229,"42 Seats available
15 Window"
