,Route_link,Route_name,Bus_name,Bus_type,Dep_time,Duration,Arr_time,Rating,Price,Seat_avail
0,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,WBTC (CTC) Belgachia - Digha via Esplanade - 51|14:00,Non AC Seater (2+3),14:00,04h 15m,18:15,3.4,145,"48 Seats available
17 Window"
1,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,WBTC (CTC) Kolkata - Digha - 124|14:40,Non AC Seater (2+3),14:40,04h 25m,19:05,3.8,145,"49 Seats available
18 Window"
2,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,WBTC (CTC) Belgachia - Digha via Esplanade - 51|14:45,Non AC Seater (2+3),14:45,05h 25m,20:10,3.4,155,"48 Seats available
17 Window"
3,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,WBTC (CTC) Belgachia - Digha via Esplanade - 51|15:45,Non AC Seater (2+3),15:45,04h 25m,20:10,3.1,145,"48 Seats available
17 Window"
4,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,WBTC (CTC) Khidderpur - Digha - 97|16:00,Non AC Seater (2+3),16:00,05h 00m,21:00,3.4,151,"49 Seats available
18 Window"
5,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Express Line,Volvo 9600 A/C Seater (2+2),23:45,05h 00m,04:45,4.5,799,"21 Seats available
10 Window"
6,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,05h 00m,04:30,4.4,0,"6 Seats available
2 Window"
7,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),23:45,05h 00m,04:45,4.5,600,25 Seats available
8,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Maa Chandi Travels,A/C Seater / Sleeper (2+2),22:00,07h 30m,05:30,4.4,0,25 Seats available
9,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Mayuri Express,AC Seater (2+2),23:15,05h 15m,04:30,4.2,0,"27 Seats available
13 Window"
10,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,WBTC (CTC) Belgachia - Digha via Esplanade - 51|14:00,Non AC Seater (2+3),14:00,04h 15m,18:15,3.4,145,"48 Seats available
17 Window"
11,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,WBTC (CTC) Kolkata - Digha - 124|14:40,Non AC Seater (2+3),14:40,04h 25m,19:05,3.8,145,"49 Seats available
18 Window"
12,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,WBTC (CTC) Belgachia - Digha via Esplanade - 51|14:45,Non AC Seater (2+3),14:45,05h 25m,20:10,3.4,155,"48 Seats available
17 Window"
13,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,WBTC (CTC) Belgachia - Digha via Esplanade - 51|15:45,Non AC Seater (2+3),15:45,04h 25m,20:10,3.1,145,"48 Seats available
17 Window"
14,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,WBTC (CTC) Khidderpur - Digha - 97|16:00,Non AC Seater (2+3),16:00,05h 00m,21:00,3.4,151,"49 Seats available
18 Window"
15,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,WBTC (CTC) Khidderpur - Digha - 97|16:45,Non AC Seater (2+3),16:45,04h 15m,21:00,3.1,145,"49 Seats available
18 Window"
16,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,SBSTC-KOLKATA - DIGHA - 13:45 (MID DEPOT) - 971,Non AC Seater (2+3),13:45,04h 30m,18:15,4.3,155,"39 Seats available
15 Window"
17,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,SBSTC-KARUNAMOYEE - DIGHA - VIA DUNLOP - 14:30 (DIGHA) - 3836,Non AC Seater (2+3),14:30,05h 00m,19:30,4.3,170,"47 Seats available
17 Window"
18,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,SBSTC-KOLKATA - DIGHA - VOLVO - SPL - 16:15 (BEL DEPOT) - 3347,Volvo AC Seater (2+2),16:15,04h 30m,20:45,3.6,410,"53 Seats available
26 Window"
19,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,SBSTC-GARIA - DIGHA - 15:15 (DIGHA DEPOT) - 543,Non AC Seater (2+3),16:30,04h 30m,21:00,2.3,155,"49 Seats available
18 Window"
20,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,SBSTC-GARIA - DIGHA - 22:30 (DIGHA DEPOT) - 3745,Non AC Seater (2+3),23:45,04h 30m,04:15,4.2,155,"29 Seats available
11 Window"
21,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Express Line,Volvo 9600 A/C Seater (2+2),23:45,05h 00m,04:45,4.5,799,"21 Seats available
10 Window"
22,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,05h 00m,04:30,4.4,0,"6 Seats available
2 Window"
23,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),23:45,05h 00m,04:45,4.5,600,25 Seats available
24,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Maa Chandi Travels,A/C Seater / Sleeper (2+2),22:00,07h 30m,05:30,4.4,0,25 Seats available
25,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Mayuri Express,AC Seater (2+2),23:15,05h 15m,04:30,4.2,0,"27 Seats available
13 Window"
26,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Parameswar Travels,A/C Seater Push Back (2+2),23:50,04h 55m,04:45,3.7,0,"22 Seats available
10 Window"
27,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Sagufta Travels (Bhorpet Travels),AC Seater (2+2),23:55,04h 40m,04:35,3.9,515,"24 Seats available
12 Window"
28,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,City Express (Shinjini),AC Seater (2+3),23:50,05h 05m,04:55,3.4,370,"32 Seats available
12 Window"
29,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Parameswar Travels,A/C Seater Push Back (2+3),23:45,05h 15m,05:00,3.0,0,"36 Seats available
13 Window"
30,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),23:57,05h 13m,05:10,4.2,415,"32 Seats available
16 Window"
31,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Basu Travels,A/C Seater / Sleeper (2+2),23:59,05h 01m,05:00,3.6,349,"34 Seats available
18 Window"
